YearForWkMon,WeekNoMon,CustomerForPlan1,Zone Manager,Forecast_PlanningUnit_Chicken_BB,Forecast_PlanningUnit_Chicken_Other,Forecast_PlanningUnit_Chicken_Thighs,Forecast_PlanningUnit_Chicken_Whole,Forecast_PlanningUnit_Chicken_Wings,Forecast_PlanningUnit_Pork_Belly,Forecast_PlanningUnit_Pork_Ground,Forecast_PlanningUnit_Pork_Hip,Forecast_PlanningUnit_Pork_Neck,Forecast_PlanningUnit_Pork_Rib,Forecast_PlanningUnit_Pork_Shoulder,Forecast_PlanningUnit_Pork_Sirloin,Forecast_PlanningUnit_Pork_Whole,Forecast_BaseUnit_Chicken_BB,Forecast_BaseUnit_Chicken_Other,Forecast_BaseUnit_Chicken_Thighs,Forecast_BaseUnit_Chicken_Whole,Forecast_BaseUnit_Chicken_Wings,Forecast_BaseUnit_Pork_Belly,Forecast_BaseUnit_Pork_Ground,Forecast_BaseUnit_Pork_Hip,Forecast_BaseUnit_Pork_Neck,Forecast_BaseUnit_Pork_Rib,Forecast_BaseUnit_Pork_Shoulder,Forecast_BaseUnit_Pork_Sirloin,Forecast_BaseUnit_Pork_Whole,Order_PlanningUnit_Chicken_BB,Order_PlanningUnit_Chicken_Other,Order_PlanningUnit_Chicken_Thighs,Order_PlanningUnit_Chicken_Whole,Order_PlanningUnit_Chicken_Wings,Order_PlanningUnit_Pork_Belly,Order_PlanningUnit_Pork_Ground,Order_PlanningUnit_Pork_Hip,Order_PlanningUnit_Pork_Neck,Order_PlanningUnit_Pork_Rib,Order_PlanningUnit_Pork_Shoulder,Order_PlanningUnit_Pork_Sirloin,Order_PlanningUnit_Pork_Whole,Order_BaseUnit_Chicken_BB,Order_BaseUnit_Chicken_Other,Order_BaseUnit_Chicken_Thighs,Order_BaseUnit_Chicken_Whole,Order_BaseUnit_Chicken_Wings,Order_BaseUnit_Pork_Belly,Order_BaseUnit_Pork_Ground,Order_BaseUnit_Pork_Hip,Order_BaseUnit_Pork_Neck,Order_BaseUnit_Pork_Rib,Order_BaseUnit_Pork_Shoulder,Order_BaseUnit_Pork_Sirloin,Order_BaseUnit_Pork_Whole,Weigth_KG_Chicken_BB,Weigth_KG_Chicken_Other,Weigth_KG_Chicken_Thighs,Weigth_KG_Chicken_Whole,Weigth_KG_Chicken_Wings,Weigth_KG_Pork_Belly,Weigth_KG_Pork_Ground,Weigth_KG_Pork_Hip,Weigth_KG_Pork_Neck,Weigth_KG_Pork_Rib,Weigth_KG_Pork_Shoulder,Weigth_KG_Pork_Sirloin,Weigth_KG_Pork_Whole,Quantity_Chicken_BB,Quantity_Chicken_Other,Quantity_Chicken_Thighs,Quantity_Chicken_Whole,Quantity_Chicken_Wings,Quantity_Pork_Belly,Quantity_Pork_Ground,Quantity_Pork_Hip,Quantity_Pork_Neck,Quantity_Pork_Rib,Quantity_Pork_Shoulder,Quantity_Pork_Sirloin,Quantity_Pork_Whole,Price_KG_Chicken_BB,Price_KG_Chicken_Other,Price_KG_Chicken_Thighs,Price_KG_Chicken_Whole,Price_KG_Chicken_Wings,Price_KG_Pork_Belly,Price_KG_Pork_Ground,Price_KG_Pork_Hip,Price_KG_Pork_Neck,Price_KG_Pork_Rib,Price_KG_Pork_Shoulder,Price_KG_Pork_Sirloin,Price_KG_Pork_Whole
2023,48,CPFT ภาคเหนือบน,UPPER NORTH,49397,785,56030,8298,4510,13996.333,2945,19242,4838.571,6571,10191,3540,2605,49397,1808,56030,58748.94,4510,13996.333,2945,19242,4838.571,6571,10191,3540,275890,50637,1891.4199,33301,9655.0826,4040,23150,2461,23135,4469,7609.1,12750.1,3502,2639.9395,50637,3487.44,33301,69072.5,4040,23150,2461,23135,4469,7609.1,12750.1,3502,277297,81997,4086.06,52029,100596.67,8446,38231.06,5120.45,44901.53,8502.99,12588.43,20093.71,6158.82,455667.07,25021,3339,12231,14541,2182,39794.06,3710.21,44901.53,9646.49,12588.43,20093.71,6204.82,27826.63,55.87281571,76.80890883,70.75799881,63.1361221,91.07605375,145.1169405,123.91158,109.8561283,165.8603585,104.3192249,107.9287314,122.331307,92.50409159
2023,48,CPFT ภาคเหนือล่าง,LOWER NORTH,38459,228,44234,11075,3339,9241,1532,15429,2137,3900,6442,2839,1815,38459,2052,44234,84960.41,3339,9241,1532,15429,2137,3900,6442,2839,195895,25033,184,50310,11041,5333,13521,1570,18801,2073,5905,7234,2655,1841.2437,25033,1656,50310,83550,5333,13521,1570,18801,2073,5905,7234,2655,202185,56820,2624.8,85614,132060.8,5467,21273.11,2593.45,33022.18,3036.83,6080.75,11823.71,4738.54,334210.92,12207,370,22932,19082.4967,2085,22803.11,2015.93,33022.18,3631.83,5693.45,11823.71,4823.04,3638,54.09775343,67.12537717,70.10171759,58.03116958,88.08221145,152.3322824,114.4774605,101.3873757,166.8564259,113.8376335,104.0388981,125.5762387,83.32474483
2023,48,CPFT ภาคใต้,SOUTH,17543,0,25628,38640,2714,15363,5580,9858,3001,5330,7656,3566,2738,17543,0,25628,197599,2714,15363,5580,9858,3001,5330,7656,3566,256735,15828,0,13174,54126.81266,2735,22891,6141,12044,4325,6025,8022,3796,2868.5956,15828,0,13174,212826.15,2735,22891,6141,12044,4325,6025,8022,3796,270623,31189,0,23347,381065.53,4355,28540.38,11743,21322.19,7021.16,9203.46,14728.55,7094.82,452901.99,10955,0,5399,73192,1735,29859.38,7767,21342.19,7964.16,9203.46,14728.55,8504.82,5776,63.20247812,0,66.88081895,57.13617986,80.48960964,164.44465,111.1895529,110.7253969,176.7787217,136.9512966,108.8883997,132.5882926,85.44670298
2023,48,CPFT ภาคกลาง ตะวันตก,WEST,29124,149,42242,4926,26604,7691.423,6006,11769,1973.625,6263,5486,4725,1409,29124,1341,42242,20312.2,26604,7691.423,6006,11769,1973.625,6263,5486,4725,154450,22075,705,28410,4380.1454,17229,16012,7656,12420,1962,6179,4663,4612,1667.5039,22075,6345,28410,21054.4,17229,16012,7656,12420,1962,6179,4663,4612,185026,48045,9555.8,56519,31973.3,6948,39922.45,17750.21,27644.1,4999.01,15235.49,11293.33,9809.17,282835.33,10063,1386,22721,6515.3,5432,41928.95,17408.21,27644.1,5862.01,15047.49,11293.33,9944.17,34791.38,56.19334499,60.12544947,70.35790991,59.3233401,74.19415659,147.5076933,108.179501,108.2407617,168.0861331,118.4641485,108.0632471,126.2732402,84.17252576
2023,48,CPFT ภาคตะวันออก,EAST,31715.18595,0,77944.18595,8654,5128,13694.63774,6125,10984,4057.265606,6350,6245,3048.080604,2726,31715.18595,0,77944.18595,60269.4,5128,13694.63774,6125,10984,4057.265606,6350,6245,3048.080604,302049.996,23565,0,29840,11306.2549,4370,15119.5,5960,11033,4997,7352,6830,3266,3027.7818,23565,0,29840,72323.3,4370,15119.5,5960,11033,4997,7352,6830,3266,335870,50732,0,58718,130527.3,7612,24124.12,10318.05,20986.61,6925.84,11486.43,11815.7,6378.88,529923,10534,0,12034,19726,1644,25409.12,9246.05,20986.61,7738.84,11106.53,11815.7,6641.88,17477.2278,56.36738351,0,73.16290354,55.33485891,95.87437073,162.9459118,115.4218869,108.0279207,160.6521981,116.3260404,109.5437553,129.2980257,82.64390396
2023,48,CPFT ภาคอีสานบน,UPPER NORTHEAST,21111,80,36380,10912,5925,20399,13675,23529,4106,12090,8280,7990,627,21116,720,36380,63215.81,5925,20399,13675,23529,4106,12090,8280,7990,54930,22611,50,32182,15804.6542,2381,32476,13440,24703,4582,12570,9330,8940,626.3491,22611,450,32182,90392.4,2381,32476,13440,24703,4582,12570,9330,8940,52970,50814,213.92,69519,144609.88,6820,58436.86,25906.79,51134.65,8421.46,24969.97,19343.23,18868.66,92742.93,10631,34,15784,27962,3362,58886.86,25838.79,51134.65,8811.46,24969.97,19343.23,18903.66,12510.87,54.83293285,56.25004675,69.05852975,60.96222568,88.08190323,143.4244622,101.4175932,111.4959934,160.7050654,102.4885248,109.9902927,120.7599527,83.41604886
2023,48,CPFT ภาคอีสานล่าง,LOWER NORTHEAST,152279,266,127599,10743,8511,43048.667,17260,36831,4018,13061,14433,13717,1136,152279,2394,127599,63174.35,8511,43048.667,17260,36831,4018,13061,14433,13717,105160,185549,267,119322,10476.5671,12237,57295,17485,39246,4520,14640,17210,14504,1109.8313,185549,2403,119322,61897.9,12237,57295,17485,39246,4520,14640,17210,14504,103175,330288,3987.6,231862,105077.93,19903,98382.14,35224.25,79282.17,7666.13,27224.68,32085.24,28466.82,174126.97,69996,545,50239,18459,5717,98677.14,32648.25,79282.17,7901.13,27224.68,32085.24,28674.82,36108.95,51.90400638,57.82079446,68.27184584,61.1032075,93.55800533,139.8233629,103.5926159,109.7144846,159.5034431,101.209216,108.4325126,119.1150417,84.6033356
2023,49,CPFT BKK,BKK,66278.571,0,44802.6,11928,9028,38380.7,10038.5,11844,5376.065,6875,4644,6011.6,2654,66278.571,0,44802.6,34886.75,9028,38380.7,10038.5,11844,5376.065,6875,4644,6011.6,313630.0017,32570,0,42032,16701.4264,7188,32094.6,10095,16330,5536.5,9001,5320,5679.1,4439.4868,32570,0,42032,46049.8,7188,32094.6,10095,16330,5536.5,9001,5320,5679.1,527500,71035,0,63105,60402.8,10826,36283.76,9665.02,26796.13,8658.29,10807.68,5719.87,10562.2,874954.6,21234,0,22470,16749,7828,38555.66,7077.02,26799.13,9052.21,9574.68,5779.87,11217.6,12587.3039,60.7703563,0,68.09707282,56.78515599,76.99702476,147.9723094,102.96131,108.7510293,196.644588,99.44913987,108.7903099,136.1171546,77.946821
2023,49,CPFT ภาคเหนือบน,UPPER NORTH,33844,1387,24543,9037,4284,18553.333,2835,27884,4736.238,7026,13210,3495,2785,33844,4297.1,24543,64031.14,4284,18553.333,2835,27884,4736.238,7026,13210,3495,297680,37653,1365.943,46575,11814.234,4798,34555,2480,25281,4626,8390.1,12326,4033,2797.7971,37653,2824.64,46575,78590,4798,34555,2480,25281,4626,8390.1,12326,4033,297505,82064,3493.46,58550,104014.84,8156,52581.55,4850.25,44680.8,8606.6,12764.2,21485.01,6646.83,460040.59,24545,2839,13958,15911,2036,54519.55,3516.65,44680.8,9860.1,12764.2,21485.01,6692.83,28224.5,56.77793746,80.85456253,71.1609667,63.75129405,92.3976643,137.5910567,123.2559847,108.4550534,167.6578184,103.4576456,106.6067165,122.8769368,92.31727355
2023,49,CPFT ภาคเหนือล่าง,LOWER NORTH,34915,186,39242,11153,3757,8990,1449,17934,2174,4590,7127,2500,1935,34915,1674,39242,83537.83,3757,8990,1449,17934,2174,4590,7127,2500,207299.9999,33554,171,44312,12938.2857,5433,16147,1390,23953,2427,5625,7959,3220,1913.4084,33554,1539,44312,92560.5,5433,16147,1390,23953,2427,5625,7959,3220,209885,55895,2459.7,90332,144680.75,5493,27030.19,2684.89,39981.36,3129.97,6719.59,12693.5,5549.16,347693.11,14542,344,22294,20900.7952,2087,28665.19,2110.64,39981.36,3619.97,6320.09,12693.5,5688.66,3718,56.3597193,67.26709761,71.59473509,60.19352823,88.8710304,149.1891437,112.6826537,98.34722706,168.693438,114.9483704,101.2419238,125.5400529,83.2884289
2023,49,CPFT ภาคใต้,SOUTH,13288,0,12449,37385,2706,16532,5295,8413,3227,4948,6864,3635,2465,13288,0,12449,188737.2,2706,16532,5295,8413,3227,4948,6864,3635,229560,12164,0,19482,54369.71254,10707,24075,5791,13906,4181,5905,8448,4482,3021.4093,12164,0,19482,291092.5,10707,24075,5791,13906,4181,5905,8448,4482,293125,22533,0,30764,434204.6,10930,35616.36,11596,25276.67,7551.17,9562.94,15782.67,7764.06,465617.98,6849,0,6784,80599,2702,37374.36,7684,25276.67,8317.64,9562.94,15782.67,8834.06,5852,64.79226468,0,65.17209596,55.47438896,66.33926715,161.4346491,108.6353286,107.545651,175.4014596,135.6116027,106.2894707,129.8158824,84.67740679
2023,49,CPFT ภาคกลาง ตะวันตก,WEST,29047,227,33742,4993,15828,7145.125,5820,11460,1938.625,5822,4381,4559,1204,29047,2043,33742,20859.55,15828,7145.125,5820,11460,1938.625,5822,4381,4559,131830,21967,690,27994,4668.7522,9340,15684,7505,14143,2334,6563,5507,4285.5,1712.6508,21967,6210,27994,21041.9,9340,15684,7505,14143,2334,6563,5507,4285.5,191515,43035,9834.9,56477,36392.5,5126,38201.9,16844.99,29777.64,5639.3,15279.17,12981.37,9555.92,302315.56,8713,1395,23731,6926,3690,40262.4,16507.99,29777.64,6765.3,15119.17,12981.37,9683.42,49672.96,57.60647496,60.14616417,68.76742798,60.04805248,77.30764729,148.7543245,108.1668306,106.8020673,170.8496604,116.9216927,106.4877636,126.592055,84.55500971
2023,49,CPFT ภาคตะวันออก,EAST,26896,0,34547,8748,4346,12559.96193,5883,10371,3348.421883,5966,6140,3378.554979,2611,26896,0,34547,61150.6,4346,12559.96193,5883,10371,3348.421883,5966,6140,3378.554979,289274.9963,18176,0,22884,10746.4867,5118,18588.5,6385,13174,4598,7361,6950,3095,2940.1592,18176,0,22884,70308.15,5118,18588.5,6385,13174,4598,7361,6950,3095,325270,41348,0,49781,117614.65,7890,28036.15,10701.09,23204.71,7621.83,11185.03,12396.21,6371.33,536985.808,8611,0,10173,18784,1682,29480.65,9561.09,23204.71,8532.83,10861.23,12396.21,6528.33,17795.3548,58.87366257,0,74.97806051,57.15801986,97.14486312,161.5340213,113.5858627,105.8444096,159.434296,117.2976997,107.7659067,128.5001169,82.68079252
